Date,"Temperature, *C","RH, %","Dew Point, *C","Temperature, *C","RH, %","Dew Point, *C"
20-12-10 18:33:46,,,,6.81,41.05,-5.50
20-12-10 18:35:46,,,,6.83,41.46,-5.35
20-12-10 18:37:46,,,,6.88,41.44,-5.31
20-12-10 18:39:46,,,,6.86,41.40,-5.34
20-12-10 18:41:46,,,,6.87,41.64,-5.26
20-12-10 18:43:46,,,,6.86,41.81,-5.21
20-12-10 18:45:46,,,,6.91,41.78,-5.17
20-12-10 18:47:46,,,,6.93,41.79,-5.16
20-12-10 18:49:46,,,,6.94,41.65,-5.19
20-12-10 18:51:46,,,,6.99,41.80,-5.10
20-12-10 18:53:46,,,,6.99,41.69,-5.13
20-12-10 18:55:46,,,,7.01,41.53,-5.16
20-12-10 18:57:46,,,,7.05,41.52,-5.13
20-12-10 18:59:46,,,,7.11,41.72,-5.02
20-12-10 19:01:46,,,,7.10,41.71,-5.03
20-12-10 19:03:46,,,,7.17,41.65,-4.98
20-12-10 19:05:46,,,,7.20,41.77,-4.91
20-12-10 19:07:46,,,,7.24,41.74,-4.89
20-12-10 19:09:46,,,,7.26,41.85,-4.84
20-12-10 19:11:46,,,,7.29,41.91,-4.79
20-12-10 19:13:46,,,,7.28,41.69,-4.87
20-12-10 19:15:46,,,,7.34,41.64,-4.83
20-12-10 19:17:46,,,,7.38,41.59,-4.81
20-12-10 19:19:46,,,,7.44,41.31,-4.85
20-12-10 19:21:46,,,,7.42,41.16,-4.91
20-12-10 19:23:46,,,,7.48,40.98,-4.91
20-12-10 19:25:46,,,,7.53,40.95,-4.88
20-12-10 19:27:46,,,,7.55,40.90,-4.88
20-12-10 19:29:46,,,,7.57,41.05,-4.81
20-12-10 19:31:46,,,,7.59,40.98,-4.82
20-12-10 19:33:46,,,,7.60,40.99,-4.80
20-12-10 19:35:46,,,,7.63,41.13,-4.73
20-12-10 19:37:46,,,,7.67,40.80,-4.81
20-12-10 19:39:46,,,,7.70,40.57,-4.85
20-12-10 19:41:46,,,,7.72,40.52,-4.85
20-12-10 19:43:46,,,,7.73,40.47,-4.86
20-12-10 19:45:46,,,,7.77,40.35,-4.86
20-12-10 19:47:46,,,,7.78,40.12,-4.92
20-12-10 19:49:46,,,,7.82,39.85,-4.98
20-12-10 19:51:46,,,,7.82,39.82,-4.99
20-12-10 19:53:46,,,,7.79,39.97,-4.96
20-12-10 19:55:46,,,,7.84,39.79,-4.98
20-12-10 19:57:46,,,,7.84,39.90,-4.95
20-12-10 19:59:46,,,,7.88,39.65,-4.99
20-12-10 20:01:46,,,,7.90,39.73,-4.95
20-12-10 20:03:46,,,,7.89,39.46,-5.05
20-12-10 20:05:46,,,,7.89,39.49,-5.03
20-12-10 20:07:46,,,,7.90,39.48,-5.03
20-12-10 20:09:46,,,,7.93,39.33,-5.05
20-12-10 20:11:46,,,,7.96,39.21,-5.07
20-12-10 20:13:46,,,,7.92,39.15,-5.12
20-12-10 20:15:46,,,,7.96,39.14,-5.10
20-12-10 20:17:46,,,,7.94,39.03,-5.14
20-12-10 20:19:46,,,,7.94,38.85,-5.20
20-12-10 20:21:46,,,,7.96,38.74,-5.23
20-12-10 20:23:46,,,,7.96,38.72,-5.24
20-12-10 20:25:46,,,,7.97,38.67,-5.25
20-12-10 20:27:46,,,,7.97,38.58,-5.27
20-12-10 20:29:46,,,,7.96,38.43,-5.33
20-12-10 20:31:46,,,,7.94,38.23,-5.41
20-12-10 20:33:46,,,,7.94,38.03,-5.48
20-12-10 20:35:46,,,,7.96,37.94,-5.50
20-12-10 20:37:46,,,,7.93,37.89,-5.54
20-12-10 20:39:46,,,,7.90,37.86,-5.58
20-12-10 20:41:46,,,,7.92,37.72,-5.61
20-12-10 20:43:46,,,,7.92,37.57,-5.66
20-12-10 20:45:46,,,,7.91,37.48,-5.70
20-12-10 20:47:46,,,,7.92,37.41,-5.72
20-12-10 20:49:46,,,,7.88,37.32,-5.79
20-12-10 20:51:46,,,,7.89,37.27,-5.80
20-12-10 20:53:46,,,,7.84,36.65,-6.06
20-12-10 20:55:46,,,,7.87,35.78,-6.35
20-12-10 20:57:46,,,,7.82,35.10,-6.64
20-12-10 20:59:46,,,,7.83,34.75,-6.76
20-12-10 21:01:46,,,,7.83,34.53,-6.85
20-12-10 21:03:46,,,,7.79,34.33,-6.95
20-12-10 21:05:46,,,,7.78,34.09,-7.05
20-12-10 21:07:46,,,,7.75,33.99,-7.12
20-12-10 21:09:46,,,,7.73,33.87,-7.19
20-12-10 21:11:46,,,,7.75,33.76,-7.21
20-12-10 21:13:46,,,,7.70,33.80,-7.24
20-12-10 21:15:46,,,,7.69,33.70,-7.29
20-12-10 21:17:46,,,,7.63,33.73,-7.32
20-12-10 21:19:46,,,,7.61,34.95,-6.88
20-12-10 21:21:46,,,,7.59,34.28,-7.15
20-12-10 21:23:46,,,,7.54,34.11,-7.26
20-12-10 21:25:46,,,,7.49,34.09,-7.31
20-12-10 21:27:46,,,,7.44,34.68,-7.14
20-12-10 21:29:46,,,,7.39,34.63,-7.20
20-12-10 21:31:46,,,,7.33,35.00,-7.11
20-12-10 21:33:46,,,,7.25,35.27,-7.09
20-12-10 21:35:46,,,,7.18,35.21,-7.17
20-12-10 21:37:46,,,,7.11,35.30,-7.20
20-12-10 21:39:46,,,,7.01,35.47,-7.22
20-12-10 21:41:46,,,,6.94,35.60,-7.24
20-12-10 21:43:46,,,,6.89,35.97,-7.15
20-12-10 21:45:46,,,,6.82,36.22,-7.12
20-12-10 21:47:46,,,,6.76,36.07,-7.23
20-12-10 21:49:46,,,,6.69,36.50,-7.14
20-12-10 21:51:46,,,,6.66,36.37,-7.22
20-12-10 21:53:46,,,,6.60,36.34,-7.27
20-12-10 21:55:46,,,,6.54,36.48,-7.28
20-12-10 21:57:46,,,,6.49,36.84,-7.20
20-12-10 21:59:46,,,,6.43,36.88,-7.23
20-12-10 22:01:46,,,,6.39,37.04,-7.22
20-12-10 22:03:46,,,,6.38,37.01,-7.24
20-12-10 22:05:46,,,,6.30,36.97,-7.32
20-12-10 22:07:46,,,,6.26,37.39,-7.21
20-12-10 22:09:46,,,,6.23,37.26,-7.28
20-12-10 22:11:46,,,,6.12,37.17,-7.41
20-12-10 22:13:46,,,,6.11,37.39,-7.35
20-12-10 22:15:46,,,,6.07,37.31,-7.41
20-12-10 22:17:46,,,,6.08,37.67,-7.28
20-12-10 22:19:46,,,,6.01,37.75,-7.30
20-12-10 22:21:46,,,,5.94,37.75,-7.37
20-12-10 22:23:46,,,,5.93,37.64,-7.42
20-12-10 22:25:46,,,,5.93,37.73,-7.39
20-12-10 22:27:46,,,,5.86,37.93,-7.38
20-12-10 22:29:46,,,,5.83,38.24,-7.30
20-12-10 22:31:46,,,,5.81,39.67,-6.85
20-12-10 22:33:46,,,,5.81,38.73,-7.16
20-12-10 22:35:46,,,,5.78,38.59,-7.23
20-12-10 22:37:46,,,,5.79,38.67,-7.20
20-12-10 22:39:46,,,,5.79,38.48,-7.26
20-12-10 22:41:46,,,,5.71,38.52,-7.31
20-12-10 22:43:46,,,,5.72,38.40,-7.35
20-12-10 22:45:46,,,,5.70,38.58,-7.30
20-12-10 22:47:46,,,,5.69,38.41,-7.37
20-12-10 22:49:46,,,,5.66,38.38,-7.41
20-12-10 22:51:46,,,,5.68,38.74,-7.27
20-12-10 22:53:46,,,,5.65,38.59,-7.35
20-12-10 22:55:46,,,,5.60,38.35,-7.48
20-12-10 22:57:46,,,,5.59,38.46,-7.45
20-12-10 22:59:46,,,,5.56,38.41,-7.49
20-12-10 23:01:46,,,,5.53,38.43,-7.51
20-12-10 23:03:46,,,,5.51,38.67,-7.45
20-12-10 23:05:46,,,,5.48,38.36,-7.58
20-12-10 23:07:46,,,,5.48,38.57,-7.51
20-12-10 23:09:46,,,,5.42,38.49,-7.58
20-12-10 23:11:46,,,,5.41,38.46,-7.61
20-12-10 23:13:46,,,,5.41,39.83,-7.15
20-12-10 23:15:46,,,,5.38,39.92,-7.15
20-12-10 23:17:46,,,,5.37,38.94,-7.48
20-12-10 23:19:46,,,,5.34,38.76,-7.57
20-12-10 23:21:46,,,,5.35,39.54,-7.31
20-12-10 23:23:46,,,,5.35,39.29,-7.39
20-12-10 23:25:46,,,,5.30,39.21,-7.46
20-12-10 23:27:46,,,,5.28,38.80,-7.61
