Datetime,UV,IRTemp,Water_Pressure,Ice_Temp,Wind_Direction,Wind_SpeedAvg,Wind_SpeedMax,Pressure,Water_Temp,Air_Temp,RH
2020-12-10 18:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.18,58.63
2020-12-10 18:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.21,58.1
2020-12-10 18:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.21,58.93
2020-12-10 18:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.21,57.75
2020-12-10 18:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.24,58.76
2020-12-10 18:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2,62.57
2020-12-10 18:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.15,58.46
2020-12-10 18:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.11,56.57
2020-12-10 18:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.04,57.82
2020-12-10 18:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.97,59.53
2020-12-10 18:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,59.87
2020-12-10 18:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1,60.82
2020-12-10 18:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.29,63.43
2020-12-10 19:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.42,64.41
2020-12-10 19:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.56,64.58
2020-12-10 19:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.69,65.58
2020-12-10 19:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.76,67.07
2020-12-10 19:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8,66.65
